Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
19,4.0,0.4880000054836273,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", averyh Im with you on this one Avery 
20,9.0,0.7365999817848206,"day, good_morn, morning, not, do, sweet, get, good, right, fly", DrVogelmann Good plan 
21,5.0,0.8745999932289124,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", Avocados are eing recalled in states ecause of listeria contamination here how worried you should e 
22,0.0,0.7617999911308289,"marie, thank, week, trump, never, need, sweetie, hug, ever, trip", KEEN Oh cool And thanks for the reply So if I ought pretty much any mens style Ill have that Cleansport NXT 
23,6.0,0.7631000280380249,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", Are you up to speed on what your kids are watching and into Thoughts on that 
24,4.0,0.8686000108718872,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", LPearmanPhotos still laughing aout our little event this many days later 
25,4.0,0.4327000081539154,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", johnhaydon Oh Ill check it out Thank you 
26,9.0,0.9376000165939331,"day, good_morn, morning, not, do, sweet, get, good, right, fly", The average human reads minutes a day that includes emails and texts chrisrogan SMMW While that impacts content marketers it really impacts humanity much more 
27,6.0,0.6208999752998352,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", milogestulog Tears 
28,7.0,0.9003000259399414,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", elonmusk DylanSheaMusic Please consider this a commitment that I will fund fixing the water in any house in Flint that has water cont 
29,4.0,0.90829998254776,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", DHS spends m of taxpayer money per day to run each detention centerA tiny amount is spent on interpreters T 
30,4.0,0.8202999830245972,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", GAIndivisile THIS WEDNESDAY Protect Reproductive Rights COMMIT TO CHOICE MARCH TO ARCH protesting HB PM PM at the UG 
31,8.0,0.6392999887466431,"love, know, patriot, sad, ready, post, wish, sure, name, make", MeistroMax Followed 
32,1.0,0.8026000261306763,"have, stay, een, life, court, try, large, crime, news, bahria_town", Jesus No California mosque arson investigated as hate crime linked to New Zealand shootings 
33,2.0,0.4846000075340271,"be, go, see, ill, man, home, happy, people, want, could", RepAndyLevin 
34,2.0,0.9023000001907349,"be, go, see, ill, man, home, happy, people, want, could", RepAndyLevin As a memer of the Equality Caucus I am proud to hang the transgender pride flag outside of my DC office during TransVi 
35,5.0,0.7807000279426575,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", ACLUVA We really really really really really really really really really really really really 
36,8.0,0.6392999887466431,"love, know, patriot, sad, ready, post, wish, sure, name, make", amnestyusa ALWAYS 
37,2.0,0.7742000222206116,"be, go, see, ill, man, home, happy, people, want, could", homesickdelko AtlantaMarch I totally agree with this 
38,6.0,0.45879998803138733,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", AtlantaMarch 
39,9.0,0.7702999711036682,"day, good_morn, morning, not, do, sweet, get, good, right, fly", KenidraRWoods_ My message to anyone out there dealing w a mental illness and contemplating suicide 
40,5.0,0.7300999760627747,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", ptnassif This keeps me up at night 
41,2.0,0.6518999934196472,"be, go, see, ill, man, home, happy, people, want, could", iamwaleisah MindFornicator This is exactly it Thank you for articulating it so well 
42,3.0,0.8938000202178955,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", kkelly Naddaclue KFanazick kazweida If like to someday Got to get my husand on oard though 
43,8.0,0.6093999743461609,"love, know, patriot, sad, ready, post, wish, sure, name, make", PiperPerao HB warning Is up for a vote TODAY Georgia GA call your state legislators find their name and here https 
44,3.0,0.7498000264167786,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", The war in Yemen started years ago today and now its the worlds worst humanitarian crisisUS oms and missil 
45,4.0,0.8338000178337097,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", iamwaleisah Alyssa_Milano every actor all player amp musician ought to stop performing singing amp filming here in GA ecause if it is 
46,2.0,0.7221999764442444,"be, go, see, ill, man, home, happy, people, want, could", konte Happy Birthday husand 
47,6.0,0.6607999801635742,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", AtlantaMarch And an aortion an will hurt millions of women in Georgia who live there who can afford to travel 
48,8.0,0.820900022983551,"love, know, patriot, sad, ready, post, wish, sure, name, make", NoRAUSA We are heart broken y the deaths y suicide of survivors of gun violence Our hearts are with their loved onesWe will not 
49,7.0,0.6536999940872192,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", AtlantaMarch If there are no repercussions for hurtful policy how will we fight oppression I work in Georgia I 
50,2.0,0.789900004863739,"be, go, see, ill, man, home, happy, people, want, could", ilyseh Brian Kemp could sign HB in the next hours effectively anning aortion in the state of Georgia This ill makes women 
51,2.0,0.7508000135421753,"be, go, see, ill, man, home, happy, people, want, could", laurenduca Not to e controversial ut I wrote a ook It called How to Start a Revolution Young People and the Future of America 
52,2.0,0.4846000075340271,"be, go, see, ill, man, home, happy, people, want, could", Donated 
53,5.0,0.7396000027656555,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", RepCohen Barr didn make his decision on ostruction after reading the MuellerReport 
54,5.0,0.904699981212616,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", DeraMessing The Mueller Investigation was NOT a witchhunt a waste of time a fishing expedition It revealed very important and ser 
55,0.0,0.35100001096725464,"marie, thank, week, trump, never, need, sweetie, hug, ever, trip", pacelattin Thank you 
56,1.0,0.8996999859809875,"have, stay, een, life, court, try, large, crime, news, bahria_town", Tom_Winter BREAKING NEWS Michael Avenatti has een arrested and charged for attempting to extract more than million in payments f 
57,5.0,0.7806000113487244,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", A eautiful thread from an amazing father 
58,6.0,0.8274999856948853,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", Self careRed velvet with cream cheese frosting 
59,2.0,0.879800021648407,"be, go, see, ill, man, home, happy, people, want, could", Until Warrens ovious intelligence is seen as an asset a la Buttigeig learning Norwegian and not a school marm unrelatale liaility Im not going to shut up aout the doule standard 
60,8.0,0.8072999715805054,"love, know, patriot, sad, ready, post, wish, sure, name, make", Every American deserves to know how our country was attacked and how our leaders responded Only then can we restore our collective confidence in our system 
61,5.0,0.8697999715805054,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", Maye Barrs interpretation is right Maye its not But why the heck would we e ok with an ally of President appointed ecause of his hostility to the Mueller investigation tell us what the report says Give Congress the report Give the pulic the report Now 
62,5.0,0.9200999736785889,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", For each day that Congress fails to renew funding for Puerto Ricos food stamp program one million families who have had their enefits cut will struggle to put food on the tale Our fellow Americans deserve a just recovery which includes immediate funding for the NAP program 
63,3.0,0.7152000069618225,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", No collusion Soooooowhy did Trump spend an hour with Putin with no American in the room Russians agents deported from USutno collusionOk As they say in LA suck it up and VOTE BLUE in 
64,4.0,0.8693000078201294,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", A summary is not good enough The American people and Congress must have all of the facts ReleaseTheFullReport 
65,7.0,0.7843000292778015,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", Happy irthday to my wonderful sister Stephanie who turns years old today 
66,6.0,0.8503000140190125,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", PS and also Alyssa_Milano who is THE real deal She uses her platform every day to speak truth to power inspire young activists like my students 
67,9.0,0.5993000268936157,"day, good_morn, morning, not, do, sweet, get, good, right, fly", do you live here and use the water Oh whats thatyou dont Then maye you should consult with a Flint resident 
68,8.0,0.6392999887466431,"love, know, patriot, sad, ready, post, wish, sure, name, make", popcorn ready 
69,5.0,0.49950000643730164,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", This is why Trump appointed Barr 
70,3.0,0.7178000211715698,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", Hi America You have a house majority for a reason Your vote matters Its called checks and alances Lets use them 
71,3.0,0.34040001034736633,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", Can let this happen It not up to him 
72,1.0,0.48339998722076416,"have, stay, een, life, court, try, large, crime, news, bahria_town", BigSean more thoughts Key_Wane amairejohnson 
73,5.0,0.8125,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", _juliannkay crissles Black therapist will e practicing in the New York area this fall Come get this healing y 
74,5.0,0.4059999883174896,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", I literally sent texts to men like gt 
75,7.0,0.8682000041007996,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", ereolaesque Between the Two of Us EstelleDarlings and I are ack at it today and tomorrow with a dope relationship conversation fo 
76,2.0,0.722100019454956,"be, go, see, ill, man, home, happy, people, want, could", SylviaOell MONA ISSA I not sorry 
77,8.0,0.722599983215332,"love, know, patriot, sad, ready, post, wish, sure, name, make", Make sure you ready 
78,0.0,0.730400025844574,"marie, thank, week, trump, never, need, sweetie, hug, ever, trip", preciate you ae You will have a time 
79,7.0,0.7150999903678894,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", You gotta look on the timeline and ig efore asking some questions aesure do Check the pinned tweet 
80,9.0,0.8629999756813049,"day, good_morn, morning, not, do, sweet, get, good, right, fly", NEW dates added to the EstelleExperience tour LoversRock Get tickets here V 
81,5.0,0.8744999766349792,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", UranRadio UranVies Meet Up EstelleDarlings x MaleekBerry UranFusewith QueenEqui MoreMusicLessTalk Ura 
82,9.0,0.14630000293254852,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Yasssss 
83,5.0,0.5925999879837036,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", JoelOsteen God is not going to just deliver you 
84,2.0,0.70660001039505,"be, go, see, ill, man, home, happy, people, want, could", Ive lived in my new spot since Fe th I have oxes left to unpack and a ton of shit to donate Im doing fine 
85,3.0,0.7427999973297119,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", God is not going to just deliver you Hes not just going to ring you out Hes going to endorse you Hes going to put you in a position of greater prominence where people see you honored respected and admired 
86,9.0,0.5062999725341797,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Cant wait to meet 
87,7.0,0.7164000272750854,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", Garnet as Storm I can dig it 
88,6.0,0.45899999141693115,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", Oh yes indeed 
89,4.0,0.8823999762535095,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", SatterKim loveGoldenHeart GiGiBclu KariJoys malekaly PoloOrtiz BethFratesMD CheruNation BayGo 
90,9.0,0.2240999937057495,"day, good_morn, morning, not, do, sweet, get, good, right, fly", In case you havent seen this 
91,1.0,0.8515999913215637,"have, stay, een, life, court, try, large, crime, news, bahria_town", I learned that every mortal will taste death But only some will taste life RumiJoyPulicity 
92,5.0,0.8152999877929688,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", Nothing is unless our thinking makes it so William ShakespeareJoyPulicity JoyPulications 
93,7.0,0.8809999823570251,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", NovakovichAmy Replying to NovakovichAmy I understand how my iPad thinks the Aurora Borealis is in my ack ya 
94,4.0,0.8341000080108643,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", BryantCPA BI_Forensic_CPA marshawright GiGiBclu BararaLoraineN SharedMotivati JWPowerYourLife 
95,9.0,0.8776999711990356,"day, good_morn, morning, not, do, sweet, get, good, right, fly", In the midst of happiness or despair in sorrow or in joy in pleasure or in pain Do what is right and you will e 
96,4.0,0.8695999979972839,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", Gary_ARSC CarmenAcai LavaletteAstrid spendharkar OneCaringHeart BethFratesMD AuthorMBTosi ADevotedYogi 
97,2.0,0.8357999920845032,"be, go, see, ill, man, home, happy, people, want, could", eldialo Im going through another Rumi phase Everything is in the flow 
98,8.0,0.49540001153945923,"love, know, patriot, sad, ready, post, wish, sure, name, make", eldialo I have a ad kitty Shes jealous of all these good cats 
99,9.0,0.5716999769210815,"day, good_morn, morning, not, do, sweet, get, good, right, fly", eldialo Thank you eldialo Thats so nice for you to say 
100,4.0,0.8823999762535095,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", loveGoldenHeart earthles GiGiBclu KariJoys malekaly PoloOrtiz BethFratesMD CheruNation BayGo 
101,9.0,0.1468999981880188,"day, good_morn, morning, not, do, sweet, get, good, right, fly", TietanTerrier YES 
102,8.0,0.8062000274658203,"love, know, patriot, sad, ready, post, wish, sure, name, make", JoyPulicity JoyPulications Twas love whose finger traced aloud A ow of promise on the cloud Ma 
103,4.0,0.6140000224113464,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", GiGiBclu OFF TO THE PUBLISHER FamilyTRAIN JoyTrain StarfishClu GoldenHearts coachmekat _and_s_designs JaniceKoelsky Prachi 
104,3.0,0.6399000287055969,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", limit_nishiyama Its all what you elieve it to e 
105,7.0,0.8061000108718872,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", The question is not what you look at ut what you seeHenry David ThoreauWriter 
106,8.0,0.4851999878883362,"love, know, patriot, sad, ready, post, wish, sure, name, make", Cats 
107,7.0,0.5386000275611877,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", In all that I saw I was satisfied for I could dance in the drops of water laugh with the laps of joyous tears 
108,1.0,0.43950000405311584,"have, stay, een, life, court, try, large, crime, news, bahria_town", I want to sing like the irds sing not worrying aout who hears or what they think RumiJoyPulicity 
109,3.0,0.4860999882221222,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", Dogs 
110,9.0,0.6230000257492065,"day, good_morn, morning, not, do, sweet, get, good, right, fly", One must have sorrow to truly appreciate joy Megan HartJoyPulicity 
111,8.0,0.722599983215332,"love, know, patriot, sad, ready, post, wish, sure, name, make", JoyPulicity JoyPulicationsBe so BOLD they can ignore you 
112,0.0,0.8962000012397766,"marie, thank, week, trump, never, need, sweetie, hug, ever, trip", Poetry is the spontaneous overflow of powerful feelings it takes its origin from emotion recollected in tranquili 
113,8.0,0.42719998955726624,"love, know, patriot, sad, ready, post, wish, sure, name, make", Clean out your ears don listen for what you already know RumiJoyPulicity 
114,9.0,0.7430999875068665,"day, good_morn, morning, not, do, sweet, get, good, right, fly", You dont have to e in a perfect situation to e just have to feel at peace with the worl 
115,2.0,0.6100999712944031,"be, go, see, ill, man, home, happy, people, want, could", I never saw music in terms of men and women or lack and white There was just cool and uncool Bonnie RaittMusicMusc 
116,8.0,0.7357000112533569,"love, know, patriot, sad, ready, post, wish, sure, name, make", Keep Calm and Find Your Zenity Nanette Mathews JoyPulicity 
117,5.0,0.6930999755859375,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", For awhile I was left with nothing on the physical plane I had no relationships no jo no home no socially de 
118,8.0,0.4921000003814697,"love, know, patriot, sad, ready, post, wish, sure, name, make", JoyPulicity JoyPulicationsGive PEACE a Chance 
119,1.0,0.5902000069618225,"have, stay, een, life, court, try, large, crime, news, bahria_town", Always search for your innermost nature in those you are with as rose oil imies from roses RumiJoyPulicity 
120,8.0,0.8938000202178955,"love, know, patriot, sad, ready, post, wish, sure, name, make", Anything that makes weak physically intellectually and spiritually reject it as poison Swami Vivekananda 
121,9.0,0.6345000267028809,"day, good_morn, morning, not, do, sweet, get, good, right, fly", For the philosopher is right who says that nothing is thicker than a knifes lade separates happiness from melanc 
122,9.0,0.3833000063896179,"day, good_morn, morning, not, do, sweet, get, good, right, fly", The most eautiful moments in life are moments when you are expressing your joy not when you are seeking it S 
123,1.0,0.48410001397132874,"have, stay, een, life, court, try, large, crime, news, bahria_town", the sun rise in the east 
124,5.0,0.349700003862381,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", Well thats amazing 
125,0.0,0.5002999901771545,"marie, thank, week, trump, never, need, sweetie, hug, ever, trip", Thanks you too 
126,9.0,0.1468999981880188,"day, good_morn, morning, not, do, sweet, get, good, right, fly", SpreadLove 
127,8.0,0.4853000044822693,"love, know, patriot, sad, ready, post, wish, sure, name, make", CoffeeLovers 
128,9.0,0.1468999981880188,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Be grateful 
129,9.0,0.147599995136261,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Shine rightly 
130,5.0,0.49939998984336853,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", Be Amazing 
131,5.0,0.6492000222206116,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", Give e joyful 
132,9.0,0.147599995136261,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Buen amigo 
133,3.0,0.8712000250816345,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", Hope you had a great weekend I got to spend part of today with my grandson 
134,8.0,0.8102999925613403,"love, know, patriot, sad, ready, post, wish, sure, name, make", We love our Coffee coffeelovers FamilyTRAIN JoyTrain StarfishClu GoldenHearts 
135,8.0,0.4921000003814697,"love, know, patriot, sad, ready, post, wish, sure, name, make", Be BlessedAndGrateful everyone FamilyTRAIN JoyTrain StarfishClu GoldenHearts 
136,6.0,0.5548999905586243,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", ShineOne the eacon that guides others FamilyTRAIN JoyTrain StarfishClu GoldenHearts 
137,9.0,0.657800018787384,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Super cute 
138,6.0,0.4851999878883362,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", One of my fav rumi quotes THANK YOU for sharing 
139,6.0,0.45899999141693115,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", just like you inspire them 
140,4.0,0.36500000953674316,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", Thank you wonderful BayGo supergirlaygo KindnessMatters 
141,9.0,0.1468999981880188,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Very wise 
142,8.0,0.5633999705314636,"love, know, patriot, sad, ready, post, wish, sure, name, make", I love my friends Gerryistheest BayGo supergirlaygo GoldenHeart 
143,9.0,0.6812000274658203,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Beautiful Thank you for including me I love this message and the photo I took a couple days off of twitter and am just seeing this now Gorgeous all around Marlena gratitude eauty 
144,6.0,0.6207000017166138,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", Adding to my list 
145,9.0,0.5393999814987183,"day, good_morn, morning, not, do, sweet, get, good, right, fly", No I didnt like the ending either went through a ox of tissues Blindspotting dont know that one Ill look it up 
146,9.0,0.8776999711990356,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Good point Neville Seasonal movies add the extra kindness 
147,3.0,0.5871999859809875,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", Oh yes thats another of my favourites I have the song downloaded too 
148,2.0,0.5631999969482422,"be, go, see, ill, man, home, happy, people, want, could", Happy day Adam and all Agree with the quote Todays eauty 
149,8.0,0.7221999764442444,"love, know, patriot, sad, ready, post, wish, sure, name, make", That makes it extra special 
150,7.0,0.4742000102996826,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", A favorite 
151,7.0,0.5823000073432922,"wonderful, year, gronkowski, everyone, tweet, think, look, funniest, retirement, ack", Your favorite KindnessMatters movie Rodrigo 
152,9.0,0.7434999942779541,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Good morning a new day a new set of opportunities await 
153,8.0,0.6394000053405762,"love, know, patriot, sad, ready, post, wish, sure, name, make", And David Niven too GoldenHearts 
154,2.0,0.7742000222206116,"be, go, see, ill, man, home, happy, people, want, could", I want to see that movie Brian 
155,1.0,0.42559999227523804,"have, stay, een, life, court, try, large, crime, news, bahria_town", Life of Pi was very special Gandhi and To Sir With Love favorites 
156,3.0,0.8101999759674072,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", Yeah that generation certainly delivered memorale movies 
157,8.0,0.5781000256538391,"love, know, patriot, sad, ready, post, wish, sure, name, make", No swearing no violence no sex movies just concentrated on the story line great acting Bring it ack 
158,8.0,0.48539999127388,"love, know, patriot, sad, ready, post, wish, sure, name, make", GoldenHearts 
159,9.0,0.1468999981880188,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Yes Gerryistheest 
160,2.0,0.7742000222206116,"be, go, see, ill, man, home, happy, people, want, could", Im all for seeing this movie Les 
161,6.0,0.47769999504089355,"watch, also, tayyamemon, live, truth, world, interview, chalnanikal, pay, aap", I dont know the est But the latest is Fishermans Friends A very English film that tells how the power of fellowship music can ultimately ring love kindness into the world A proper feelgood movie with a happy ending thats ound to ring a tear to your eye 
162,4.0,0.6355999708175659,"monday, patsradycrazy_gemcos, kckittie_pgar, ladydog, ladydog_diegoarilo, turanedpatriot, turanedpatriot_princesssmh, election, good, delhi", Awesome Cheru 
163,1.0,0.558899998664856,"have, stay, een, life, court, try, large, crime, news, bahria_town", Ive een a fan of hers for a long long time 
164,8.0,0.49239999055862427,"love, know, patriot, sad, ready, post, wish, sure, name, make", OFF TO THE PUBLISHER FamilyTRAIN JoyTrain StarfishClu GoldenHearts 
165,8.0,0.4921000003814697,"love, know, patriot, sad, ready, post, wish, sure, name, make", TODAY FamilyTRAIN JoyTrain StarfishClu GoldenHearts 
166,8.0,0.5665000081062317,"love, know, patriot, sad, ready, post, wish, sure, name, make", MAKE YOURSELF HAPPY FamilyTRAIN JoyTrain StarfishClu GoldenHearts 
167,8.0,0.6396999955177307,"love, know, patriot, sad, ready, post, wish, sure, name, make", FamilyTRAIN JoyTrain StarfishClu GoldenHearts 
168,8.0,0.8101000189781189,"love, know, patriot, sad, ready, post, wish, sure, name, make", MAKE MAGIC BAM FamilyTRAIN JoyTrain StarfishClu GoldenHearts 
169,0.0,0.5002999901771545,"marie, thank, week, trump, never, need, sweetie, hug, ever, trip", Pretty 
170,3.0,0.33959999680519104,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", So to e or not to e thats question 
171,3.0,0.8361999988555908,"great, good_morning, hope, vote, s, start, forget, let, get, elieve", This means have to go to Japan lots of sushi and owing 
172,2.0,0.6567999720573425,"be, go, see, ill, man, home, happy, people, want, could", Love that Christine If I could rememer what I say I could proaly quote myself well 
173,0.0,0.6499999761581421,"marie, thank, week, trump, never, need, sweetie, hug, ever, trip", A much needed RandomActOfKindness 
174,9.0,0.14830000698566437,"day, good_morn, morning, not, do, sweet, get, good, right, fly", Transport yourhome anywhere MondayMotivation 
175,1.0,0.8675000071525574,"have, stay, een, life, court, try, large, crime, news, bahria_town", FrankieTease SteeOne Oakland is in Northern California east of San Francisco 
176,5.0,0.720300018787384,"barr, say, report, mueller, would, exonerate, decision, meet, work, get", I told you that guy was lowSmall plane makes an emergency landing on Interstate near Oakland California 
177,9.0,0.8776000142097473,"day, good_morn, morning, not, do, sweet, get, good, right, fly", It takes just minutesfor Beijing to echoked y deadly smogTech ClimateAction Yuck 
178,8.0,0.48539999127388,"love, know, patriot, sad, ready, post, wish, sure, name, make", Just Perfect MondayMotivation 
179,2.0,0.3395000100135803,"be, go, see, ill, man, home, happy, people, want, could", A Mom Life 
